,description,book_id
0,"
Set against the backdrop of French colonial Vietnam, The Lover reveals the intimacies and intricacies of a clandestine romance between a pubescent girl from a financially strapped French family and an older, wealthy Chinese-Vietnamese man. (from Wikipedia)
",275
1,"
Au cours du tournage d'une coproduction sur la paix, une comédienne française noue une relation éphémère mais passionnée avec un Japonais. Sur cette mince intrigue, Duras est chargée par Alain Resnais d'élaborer le scénario et les dialogues d'un film, Hiroshima mon amour, titre étrange et poétique malgré la référence évidente aux atrocités de la guerre. Avec un art de
Au cours du tournage d'une coproduction sur la paix, une comédienne française noue une relation éphémère mais passionnée avec un Japonais. Sur cette mince intrigue, Duras est chargée par Alain Resnais d'élaborer le scénario et les dialogues d'un film, Hiroshima mon amour, titre étrange et poétique malgré la référence évidente aux atrocités de la guerre. Avec un art de l'ellipse parfaitement maîtrisé, Duras orchestre une danse sensuelle entre deux personnages qui luttent contre le temps. Lui refuse d'admettre que les atrocités d'Hiroshima ont eu lieu, Elle se tait sur son passé ; pourtant, ces fantômes ressurgissent en fragments, lambeaux d'un passé qui se superposent au moment présent. Les corps des amants se confondent peu à peu et Hiroshima se fond dans Nevers, cadre de la jeunesse de l'actrice marquée par l'opprobre parce qu'elle a aimé un jeune Allemand durant la guerre. Les gros plans sur les corps amoureux sont entrecoupés de scènes de foule et de détails d'une crudité sordide, comme si l'horreur devait, elle aussi et malgré tous les films sur la paix, lutter contre le déni pour se faire entendre. --Sana Tang-Léopold Wauters
...more
",276
2,"
Written in the splendid bareness of her late style, these pages are Marguerite Duras's theory of literature: comparing a dying fly to the work of style; remembering the trance and incurable disarray of writing; recreating the last moments of a British pilot shot during World War II and buried next to her house; or else letting out a magisterial, so what? To question six
Written in the splendid bareness of her late style, these pages are Marguerite Duras's theory of literature: comparing a dying fly to the work of style; remembering the trance and incurable disarray of writing; recreating the last moments of a British pilot shot during World War II and buried next to her house; or else letting out a magisterial, so what? To question six decades of storytelling, all the essays together operate as a deceitful, yet indispensable confession.
...more
",277
3,"
One of France's greatest novelists offers a remarkable diary of the Nazi occupation of Paris during World War II and of its eventual liberation by the Allies. Celebrating the 50th anniversary of the liberation, this extraordinary diary by the author of The Lover is ""a haunting portrait of a time and place"" (New York Times).Written in 1944, and first published in 1985,
One of France's greatest novelists offers a remarkable diary of the Nazi occupation of Paris during World War II and of its eventual liberation by the Allies. Celebrating the 50th anniversary of the liberation, this extraordinary diary by the author of The Lover is ""a haunting portrait of a time and place"" (New York Times).Written in 1944, and first published in 1985, Duras's riveting account of life in Paris during the Nazi occupation and the first few months of liberation depicts the harrowing realities of World War II-era France ""with a rich conviction enhanced by [a] spare, almost arid, technique"" (Julian Barnes, The Washington Post Book World). Duras, by then married and part of a French resistance network headed by François Mitterand, tells of nursing her starving husband back to health after his return from Bergen-Belsen, interrogating a suspected collaborator, and playing a game of cat and mouse with a Gestapo officer who was attracted to her. The result is ""more than one woman's diary...[it is] a haunting portrait of a time and a place and also a state of mind"" (The New York Times).
...more
",278
4,"
Craniosacral Therapy II: Beyond the Dura marks yet another step in understanding the craniosacral system and its significance in the clinic. Building on concepts set forth in his pioneering work Cranioscacral Therapy, Dr. Upledger further explores the anatomical and physiological bases and clinical implications of several important aspects of the craniosacral system. The
Craniosacral Therapy II: Beyond the Dura marks yet another step in understanding the craniosacral system and its significance in the clinic. Building on concepts set forth in his pioneering work Cranioscacral Therapy, Dr. Upledger further explores the anatomical and physiological bases and clinical implications of several important aspects of the craniosacral system. The first chapter looks at the cranial nerves and how they can be effectively influenced by craniosacral therapy. In the second chapter, the author, through words and pictures, dissects the fascial anatomy of the neck from the perspective of the craniosacral system. Chapter 3 scrutinizes the temporomandibular joint and TMJ syndrome. The final chapter focuses on those concepts and discoveries which have unfolded in Dr. Upledger's clinical practice since the publication of his first book. Rounding out this volume is an extensive glossary of technical terms and concepts related to the theory and practice of craniosacral therapy.
...more
",279
5,"
In this classic novel by the best-selling author of The Lover, erotic intrigue masks a chillingly deceptive form of madness. Elisabeth Alione is convalescing in a hotel in rural France when she meets two men and another woman. The sophisticated dalliance among the four serves to obscure an underlying violence, which, when the curtain of civilization is drawn aside, reveals
In this classic novel by the best-selling author of The Lover, erotic intrigue masks a chillingly deceptive form of madness. Elisabeth Alione is convalescing in a hotel in rural France when she meets two men and another woman. The sophisticated dalliance among the four serves to obscure an underlying violence, which, when the curtain of civilization is drawn aside, reveals in her fellow guests a very contemporary, perhaps even new, form of insanity. Like many of Duras's novels, Destroy, She Said owes much to cinema, displaying a skillful interplay of dialogue and description. There are recurring moods and motifs from the Duras repertoire: eroticism, lassitude, stifled desire, a beautiful woman, a mysterious forest, a desolate provincial hotel. Included in this volume is an in-depth interview with Marguerite Duras by Jacques Rivette and Jean Narboni.
...more
",281
6,"
L'amour est enfant de bohème... La poésie et la musique lui vont comme un gant : Nouveau, Marbeuf, Labbé, Ronsard, Verlaine, Aragon. Chopin, Franck, Mahler, Schubert, Brahms, Mozart. Ou comment parler d'amour.
",282
7,"
«J'ai appris qu'il était mort depuis des années. C'était en mai 1990 [...]. Je n'avais jamais pensé à sa mort. On m'a dit aussi qu'il était enterré à Sadec, que la maison bleue était toujours là, habitée par sa famille et des enfants. Qu'il avait été aimé à Sadec pour sa bonté, sa simplicité et qu'aussi il était devenu très religieux à la fin de sa vie.J'avais abandonné le
«J'ai appris qu'il était mort depuis des années. C'était en mai 1990 [...]. Je n'avais jamais pensé à sa mort. On m'a dit aussi qu'il était enterré à Sadec, que la maison bleue était toujours là, habitée par sa famille et des enfants. Qu'il avait été aimé à Sadec pour sa bonté, sa simplicité et qu'aussi il était devenu très religieux à la fin de sa vie.J'avais abandonné le travail que j'étais en train de faire. J'ai écrit l'histoire de l'amant de la Chine du Nord et de l'enfant : elle n'était pas encore là dans L'Amant, le temps manquait autour d'eux. J'ai écrit ce livre dans le bonheur fou de l'écrire. Je suis restée un an dans ce roman, enfermée dans cette année-là de l'amour entre le Chinois et l'enfant.Je ne suis pas allée au-delà du départ du paquebot de ligne, c'est-à-dire le départ de l'enfant.» - Marguerite Duras.
...more
",283
8,"
Kahlil Gibran, author of ""The Prophet,"" is known throughout the world as The Immortal Prophet of Lebanon and the Savant of his Age. The very heart of the mystic East emerges in this monumental volume of the magnificent poetry and prose that he wrote in his beloved mother tongue, Arabic. Translated superbly into English, here are the nine great books, gathered together in
Kahlil Gibran, author of ""The Prophet,"" is known throughout the world as The Immortal Prophet of Lebanon and the Savant of his Age. The very heart of the mystic East emerges in this monumental volume of the magnificent poetry and prose that he wrote in his beloved mother tongue, Arabic. Translated superbly into English, here are the nine great books, gathered together in one giant volume and now available in a paperback edition for Gibran's myriad admirers in America.In these writings ""the Dante of the twentieth century"" offers verses and lyric prose which possess all the grandeur of rich music. Here are the great truths and heartening joys, drawn from the tears and sufferings of man. Here are pages that sparkle with simile and symbolism, of which Gibran is the world's unquestioned master.And here is the profound exaltation of a great soul that has found salvation in the heart of sorrow. In this book you will find wistful beauty, fierce anger, spellbinding majesty, and the abiding peace that Eastern wisdom seeks eternally in contemplation.The nine books which make up ""A Treasury of Kahlil Gibran"" contain the texts of ""Secrets of the Heart,"" ""Tears and Laughter"" and ""Spirits Rebellious,"" together with hitherto unpublished writings by Gibran, which are included in the brilliant preface by the distinguished Gibran scholar, Martin L. Wolf.
...more
",284
9,"
Kahlil Gibran and May Ziadah knew one another solely from each other's work; they never met, but a correspondence began in mutual admiration which lasted until Gibran's death in 1931. This text reproduces their letters.
",285
